reference,value,group,status,footprint,side,x_mm,y_mm,rotation_deg,courtyard_bbox_mm,courtyard_bbox_area_mm2
R3,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,30.8,48.5,0,"[29.87, 48.03, 31.73, 48.97]",1.748
R4,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,32.8,48.5,0,"[31.87, 48.03, 33.73, 48.97]",1.748
R5,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,34.8,48.5,0,"[33.87, 48.03, 35.73, 48.97]",1.748
R6,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,26.8,50.0,0,"[25.87, 49.53, 27.73, 50.47]",1.748
R7,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,28.8,50.0,0,"[27.87, 49.53, 29.73, 50.47]",1.748
R8,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,30.8,50.0,0,"[29.87, 49.53, 31.73, 50.47]",1.748
R9,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,32.8,50.0,0,"[31.87, 49.53, 33.73, 50.47]",1.748
R10,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,34.8,50.0,0,"[33.87, 49.53, 35.73, 50.47]",1.748
R11,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,26.8,51.5,0,"[25.87, 51.03, 27.73, 51.97]",1.748
R12,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,28.8,51.5,0,"[27.87, 51.03, 29.73, 51.97]",1.748
R13,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,30.8,51.5,0,"[29.87, 51.03, 31.73, 51.97]",1.748
R14,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,32.8,51.5,0,"[31.87, 51.03, 33.73, 51.97]",1.748
R15,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,34.8,51.5,0,"[33.87, 51.03, 35.73, 51.97]",1.748
R16,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,26.8,53.0,0,"[25.87, 52.53, 27.73, 53.47]",1.748
R17,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,28.8,53.0,0,"[27.87, 52.53, 29.73, 53.47]",1.748
R18,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,30.8,53.0,0,"[29.87, 52.53, 31.73, 53.47]",1.748
R19,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,32.8,53.0,0,"[31.87, 52.53, 33.73, 53.47]",1.748
R20,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,34.8,53.0,0,"[33.87, 52.53, 35.73, 53.47]",1.748
R21,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,26.8,58.2,0,"[25.87, 57.73, 27.73, 58.67]",1.748
R22,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,28.8,58.2,0,"[27.87, 57.73, 29.73, 58.67]",1.748
R23,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,30.8,58.2,0,"[29.87, 57.73, 31.73, 58.67]",1.748
R24,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,32.8,58.2,0,"[31.87, 57.73, 33.73, 58.67]",1.748
R25,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,34.8,58.2,0,"[33.87, 57.73, 35.73, 58.67]",1.748
C111,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,48.5,25,0,"[47.02, 24.27, 49.98, 25.73]",4.322
C112,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,51.8,25,0,"[50.32, 24.27, 53.28, 25.73]",4.322
C113,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,55.1,25,0,"[53.62, 24.27, 56.58, 25.73]",4.322
C114,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,48.5,27,0,"[47.02, 26.27, 49.98, 27.73]",4.322
C115,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,51.8,27,0,"[50.32, 26.27, 53.28, 27.73]",4.322
C116,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,55.1,27,0,"[53.62, 26.27, 56.58, 27.73]",4.322
C117,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,48.5,29,0,"[47.02, 28.27, 49.98, 29.73]",4.322
C118,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,51.8,29,0,"[50.32, 28.27, 53.28, 29.73]",4.322
C119,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,55.1,29,0,"[53.62, 28.27, 56.58, 29.73]",4.322
C120,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,48.5,31,0,"[47.02, 30.27, 49.98, 31.73]",4.322
C121,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,51.8,31,0,"[50.32, 30.27, 53.28, 31.73]",4.322
C122,DDR support TBD,Recording memory allowance,DDR decoupling/reference space allowance; circuit TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,55.1,31,0,"[53.62, 30.27, 56.58, 31.73]",4.322
R26,DDR support TBD,Recording memory allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,48.5,34.0,0,"[47.57, 33.53, 49.43, 34.47]",1.748
R27,DDR support TBD,Recording memory allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,50.8,34.0,0,"[49.87, 33.53, 51.73, 34.47]",1.748
R28,DDR support TBD,Recording memory allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,53.1,34.0,0,"[52.17, 33.53, 54.03, 34.47]",1.748
R29,DDR support TBD,Recording memory allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,55.4,34.0,0,"[54.47, 33.53, 56.33, 34.47]",1.748
R30,DDR support TBD,Recording memory allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,48.5,35.8,0,"[47.57, 35.33, 49.43, 36.27]",1.748
R31,DDR support TBD,Recording memory allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,50.8,35.8,0,"[49.87, 35.33, 51.73, 36.27]",1.748
R32,DDR support TBD,Recording memory allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,53.1,35.8,0,"[52.17, 35.33, 54.03, 36.27]",1.748
R33,DDR support TBD,Recording memory allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,55.4,35.8,0,"[54.47, 35.33, 56.33, 36.27]",1.748
C123,Peripheral support TBD,Clock and controls,Clock/flash/reset supply support allowance,Capacitor_SMD:C_0603_1608Metric,Bottom,8.0,24,0,"[6.52, 23.27, 9.48, 24.73]",4.322
C124,Peripheral support TBD,Clock and controls,Clock/flash/reset supply support allowance,Capacitor_SMD:C_0603_1608Metric,Bottom,11.3,24,0,"[9.82, 23.27, 12.78, 24.73]",4.322
C125,Peripheral support TBD,Clock and controls,Clock/flash/reset supply support allowance,Capacitor_SMD:C_0603_1608Metric,Bottom,8.0,26,0,"[6.52, 25.27, 9.48, 26.73]",4.322
C126,Peripheral support TBD,Clock and controls,Clock/flash/reset supply support allowance,Capacitor_SMD:C_0603_1608Metric,Bottom,11.3,26,0,"[9.82, 25.27, 12.78, 26.73]",4.322
C127,Peripheral support TBD,Clock and controls,Clock/flash/reset supply support allowance,Capacitor_SMD:C_0603_1608Metric,Bottom,8.0,28,0,"[6.52, 27.27, 9.48, 28.73]",4.322
C128,Peripheral support TBD,Clock and controls,Clock/flash/reset supply support allowance,Capacitor_SMD:C_0603_1608Metric,Bottom,11.3,28,0,"[9.82, 27.27, 12.78, 28.73]",4.322
R34,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,5.5,30.5,0,"[4.57, 30.03, 6.43, 30.97]",1.748
R35,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,7.8,30.5,0,"[6.87, 30.03, 8.73, 30.97]",1.748
R36,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,10.1,30.5,0,"[9.17, 30.03, 11.03, 30.97]",1.748
R37,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,12.399999999999999,30.5,0,"[11.47, 30.03, 13.33, 30.97]",1.748
R38,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,5.5,32.1,0,"[4.57, 31.63, 6.43, 32.57]",1.748
R39,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,7.8,32.1,0,"[6.87, 31.63, 8.73, 32.57]",1.748
R40,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,10.1,32.1,0,"[9.17, 31.63, 11.03, 32.57]",1.748
R41,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,12.399999999999999,32.1,0,"[11.47, 31.63, 13.33, 32.57]",1.748
R42,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,5.5,33.7,0,"[4.57, 33.23, 6.43, 34.17]",1.748
R43,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,7.8,33.7,0,"[6.87, 33.23, 8.73, 34.17]",1.748
R44,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,10.1,33.7,0,"[9.17, 33.23, 11.03, 34.17]",1.748
R45,Configuration/control TBD,Clock and controls,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,12.399999999999999,33.7,0,"[11.47, 33.23, 13.33, 34.17]",1.748
TP1,Test point,Clock and controls,Signal assignment TBD,TestPoint:TestPoint_Pad_D1.0mm,Top,17,67,0,"[16.0, 66.0, 18.0, 68.0]",4.0
TP2,Test point,Clock and controls,Signal assignment TBD,TestPoint:TestPoint_Pad_D1.0mm,Top,21,67,0,"[20.0, 66.0, 22.0, 68.0]",4.0
TP3,Test point,Clock and controls,Signal assignment TBD,TestPoint:TestPoint_Pad_D1.0mm,Top,25,67,0,"[24.0, 66.0, 26.0, 68.0]",4.0
TP4,Test point,Clock and controls,Signal assignment TBD,TestPoint:TestPoint_Pad_D1.0mm,Top,29,67,0,"[28.0, 66.0, 30.0, 68.0]",4.0
TP5,Test point,Clock and controls,Signal assignment TBD,TestPoint:TestPoint_Pad_D1.0mm,Top,33,67,0,"[32.0, 66.0, 34.0, 68.0]",4.0
TP6,Test point,Clock and controls,Signal assignment TBD,TestPoint:TestPoint_Pad_D1.0mm,Top,37,67,0,"[36.0, 66.0, 38.0, 68.0]",4.0
TP7,Test point,Clock and controls,Signal assignment TBD,TestPoint:TestPoint_Pad_D1.0mm,Top,41,67,0,"[40.0, 66.0, 42.0, 68.0]",4.0
TP8,Test point,Clock and controls,Signal assignment TBD,TestPoint:TestPoint_Pad_D1.0mm,Top,45,67,0,"[44.0, 66.0, 46.0, 68.0]",4.0
H1,M2 clearance,Mounting,Mechanical placeholders; stack height/enclosure TBD,MountingHole:MountingHole_2.2mm_M2,Top,3.5,3.5,0,"[1.05, 1.05, 5.95, 5.95]",24.01
H2,M2 clearance,Mounting,Mechanical placeholders; stack height/enclosure TBD,MountingHole:MountingHole_2.2mm_M2,Top,56.5,3.5,0,"[54.05, 1.05, 58.95, 5.95]",24.01
H3,M2 clearance,Mounting,Mechanical placeholders; stack height/enclosure TBD,MountingHole:MountingHole_2.2mm_M2,Top,3.5,66.5,0,"[1.05, 64.05, 5.95, 68.95]",24.01
H4,M2 clearance,Mounting,Mechanical placeholders; stack height/enclosure TBD,MountingHole:MountingHole_2.2mm_M2,Top,56.5,66.5,0,"[54.05, 64.05, 58.95, 68.95]",24.01
